Legal Form (LFO),Variable name (on form),Variable description,Tax Form,Tax Form (link),Page Number (form),Page number (full document),Where on page,Associated NES Variable(s),Associated NES Variable (text),Condition,Note,Location shown in ppt?,New
"Sole Proprietorships, S-Corps, Partnerships",Postal Address,Postal Address,Form 482.0,https://hacienda.pr.gov/sites/default/files/individuals_2022_informative_0.pdf,1,1,"Top left, under Taxpayer's First Name",,"state, county, combined statistical area","Only required if the taxpayer filed a Schedule J - N, or Schedule R1 for the given year",,,
"Sole Proprietorships, S-Corps, Partnerships",Postal Address - Zip Code,Postal Address - Zip Code,Form 482.0,https://hacienda.pr.gov/sites/default/files/individuals_2022_informative_0.pdf,1,1,Part of the Postal Address field,,"state, county, combined statistical area","Only required if the taxpayer filed a Schedule J - N, or Schedule R1 for the given year",,,
"Sole Proprietorships, S-Corps, Partnerships","Home Address (Town or Urbanization, Number, Street)",Home Address,Form 482.0,https://hacienda.pr.gov/sites/default/files/individuals_2022_informative_0.pdf,1,1,"Top left, under Spouse's First Name",,"state, county, combined statistical area","Only required if the taxpayer filed a Schedule J - N, or Schedule R1 for the given year",,,
"Sole Proprietorships, S-Corps, Partnerships",Home Address - Zip Code,Home Address - Zip Code,Form 482.0,https://hacienda.pr.gov/sites/default/files/individuals_2022_informative_0.pdf,1,1,Part of the Home Address field,,"state, county, combined statistical area","Only required if the taxpayer filed a Schedule J - N, or Schedule R1 for the given year",,,
"Sole Proprietorships, S-Corps, Partnerships",Taxpayer's Social Security Number,SSN,Form 482.0,https://hacienda.pr.gov/sites/default/files/individuals_2022_informative_0.pdf,1,1,"Top middle, yellow highlight",,"state, county, combined statistical area","Only required if the taxpayer filed a Schedule J - N, or Schedule R1 for the given year",,,
Sole Proprietorships,1 taxpayer 2 spouse,Who owns business - spouse/filer?,Form 482.0 (Schedule L Individual),https://hacienda.pr.gov/sites/default/files/individuals_2022_informative_0.pdf,1,42,"top right, part 1",,needed for to assign owner demographics,,,,
Sole Proprietorships,1 taxpayer 2 spouse,Who owns business - spouse/filer?,Form 482.0 (Schedule M Individual),https://hacienda.pr.gov/sites/default/files/individuals_2022_informative_0.pdf,1,44,"top, part 1",,needed for to assign owner demographics,,,,
Sole Proprietorships,1 taxpayer 2 spouse,Who owns business - spouse/filer?,Form 482.0 (Schedule N Individual),https://hacienda.pr.gov/sites/default/files/individuals_2022_informative_0.pdf,1,46,"top, part 1",,needed for to assign owner demographics,,,,
Sole Proprietorships,"1. Salaries, commissions and bonuses to employees",wage paid,Form 482.0 (Schedule J Individual),https://hacienda.pr.gov/sites/default/files/individuals_2022_informative_0.pdf,1,38,Top of Part III,,Is the business in scope for the NES?,,,yes,
Sole Proprietorships,"1. Salaries, commissions and bonuses to employees",wage paid,Form 482.0 (Schedule K Individual),https://hacienda.pr.gov/sites/default/files/individuals_2022_informative_0.pdf,1,40,Top of Part III,,Is the business in scope for the NES?,,,yes,
Sole Proprietorships,"1. Salaries, commissions and bonuses to employees",wage paid,Form 482.0 (Schedule L Individual),https://hacienda.pr.gov/sites/default/files/individuals_2022_informative_0.pdf,1,42,Top of Part III,,Is the business in scope for the NES?,,,yes,
Sole Proprietorships,"1. Salaries, commissions and bonuses to employees",wage paid,Form 482.0 (Schedule M Individual),https://hacienda.pr.gov/sites/default/files/individuals_2022_informative_0.pdf,1,44,Top of Part III,,Is the business in scope for the NES?,,,yes,
Sole Proprietorships,"1. Salaries, commissions and bonuses to employees",wage paid,Form 482.0 (Schedule N Individual),https://hacienda.pr.gov/sites/default/files/individuals_2022_informative_0.pdf,1,46,Top of Part III,,Is the business in scope for the NES?,,,yes,
Sole Proprietorships,Date Operations Began Day_ Month_ Year_,start date of operations,Form 482.0 (Schedule J Individual),individuals_2022_informative_0.pdf (pr.gov),1,38,Part I,,,,requested during 11/15 meeting,,
Sole Proprietorships,Date Operations Began Day_ Month_ Year_,start date of operations,Form 482.0 (Schedule K Individual),individuals_2022_informative_0.pdf (pr.gov),1,40,Part I,,,,requested during 11/15 meeting,,
Partnerships & S-Corps,Postal Address,Postal Address,Form 480.20(EC),https://hacienda.pr.gov/sites/default/files/documentos/480.20ec.pdf,1,1,"Top left, under Entity's Name",,"state, county, combined statistical area",,,yes,
Partnerships & S-Corps,Postal Address - Zip Code,Postal Address - Zip Code,Form 480.20(EC),https://hacienda.pr.gov/sites/default/files/documentos/480.20ec.pdf,1,1,Part of the Postal Address field,,"state, county, combined statistical area",,,yes,
Partnerships & S-Corps,"Location of Principle Industry of Business - Number, Street, City",Business Address,Form 480.20(EC),https://hacienda.pr.gov/sites/default/files/documentos/480.20ec.pdf,1,1,"Top left, under Postal Address",,"state, county, combined statistical area",,,yes,
